"","kpc_control_1","kpc_control_2","kpc_control_3","kpc_knockdown_1","kpc_knockdown_2","kpc_knockdown_3"
"Ldlr",142.806056177153,155.444808800542,138.454558710501,103.413788395061,72.2977600861969,87.1791389271493
"Spc24",90.2394097315753,82.5200836842385,75.9811602679579,76.0745110032632,97.7662892074709,75.6829887389538
"Kank2",81.0402466035991,86.3582271114124,71.3378671404716,98.6591314573569,94.480027385371,101.549326662394
"Dock6",45.1197048657876,35.1829814157606,32.9251694494484,52.3012263147434,40.2567073207233,46.942613268465
"Rab3d",22.7788801264171,17.2716454222825,22.3722305233432,27.3392773917977,24.646963665749,21.0762753450251
"Tmem205",26.2833232227889,32.624219130978,18.5731725099453,26.1506131573717,32.0410527654736,20.1182628293422
"Plppr2",16.6461047077663,15.9922642798912,13.5077618254147,20.2072919852418,13.9666127439244,13.4121752195614
"Swsap1",16.2080493207198,17.9113359934781,14.3519969395032,17.8299635163898,16.4313091104993,23.950312892074
"Rgl3",15.7699939336733,17.9113359934781,16.04046716768,24.9619489229457,25.4685291212739,13.4121752195614
"Prkcsh",376.727632859974,424.75453927391,411.142500561061,287.656744731089,278.510689422963,332.430342941987
"Zfp653",33.2922094155326,39.0211248429345,32.9251694494484,50.5182299631044,26.2900945767989,24.908325407757
"Ecsit",41.1772063823693,44.1386494124997,35.4578747917137,38.0372555016316,48.472361875973,31.6144130175377
"Elof1",194.496591848638,146.489140803803,176.023021287436,174.73364246062,128.98577651742,108.255414272174
"Pigyl",43.3674833176017,37.7417437005432,34.6136396776253,37.4429233844186,29.5763563988987,40.2365256586843
"Anln",30.2258217062072,35.8226719869562,29.1261114360505,24.9619489229457,27.1116600323239,41.1945381743673
"Matcap2",6.57083080569723,12.1541208527173,9.70870381201685,4.75465693770395,7.39408909972469,2.87403754704888
"Rp9",112.142179083899,96.5932762505427,117.348680858291,144.422704482757,153.632740183168,126.457652070151
"Bbs9",20.1505478041382,23.0288605630433,15.1962320535916,13.0753065786859,16.4313091104993,12.4541627038785
"Dpy19l1",73.593305023809,67.167509975543,74.2926900397811,48.7352336114655,62.4389746198974,44.0685757214161
"Herpud2",608.89698799461,606.426661493474,566.059643996287,811.857672112949,789.524402759492,616.960060099826
"Septin7",16.6461047077663,19.1907171358694,23.6385831944758,17.2356313991768,18.8960054770742,31.6144130175377
