name,control_1,control_2,control_3,knockdown_1,knockdown_2,knockdown_3,knockdown_4
Gm45441,10,4,3,5,3,7,2
Kdelr1,2401,1817,2641,1921,1260,3152,2476
Syngr4,4,1,4,0,0,4,1
Tmem143,88,64,64,52,47,86,73
Emp3,2653,1855,3115,2084,1495,4381,2601
Odad1,38,29,53,34,32,43,38
Gm45983,0,0,0,0,0,0,0
Abcc6,1,0,0,0,0,0,0
Nomo1,418,496,394,433,242,731,590
Gm39010,0,1,0,0,0,0,0
Kcnj11,0,0,0,0,0,0,0
Abcc8,0,0,0,0,0,1,0
Gm51481,0,0,0,0,0,0,0
Ush1c,0,0,0,0,0,0,0
Otog,0,0,0,0,0,0,0
Gm45923,0,0,0,0,0,0,0
Myod1,0,0,0,0,0,0,0
Kcnc1,0,1,0,0,0,0,0
Sergef,79,56,86,79,53,114,79
Gm22969,0,0,0,0,0,0,0
Tph1,2,0,0,7,6,11,2
Saal1,97,70,88,91,51,179,124
Saa3,15516,25007,18417,22510,18897,61709,30173
Gm31882,0,0,2,0,0,1,0
Saa4,3,4,2,0,0,1,0
Saa1,22,29,22,6,5,24,40
Saa2,1,0,5,0,2,6,0
Hps5,54,33,79,62,13,67,45
Gtf2h1,145,80,118,111,79,159,114
Ldha,1438,1143,1580,1472,1009,2432,1722
Gm39011,0,0,0,0,0,2,0
Ldhc,0,0,0,0,0,0,0
Tsg101,324,233,409,329,181,626,379
Uevld,16,12,27,27,10,39,22
Gm39012,0,0,1,0,0,0,0
Misfadt,0,0,0,0,0,1,0
Gm31941,0,0,0,0,0,0,0
Misfa,1,1,1,0,0,0,0
Spty2d1,135,160,224,144,94,251,128
Gm32031,15,17,23,13,15,29,9
Tmem86a,206,169,272,322,169,399,344
