ensembl_transcript_id,control_1,control_2,control_3,knockdown_1,knockdown_2,knockdown_3
NM_001013373.2,0,0,0,0,0,0
NM_001013374.2,0,0,0,0,0,0
NM_001013375.1,24,30,37,48,40,42
NM_001013376.2,21.204,16.847,28.024,23.103,9.866,16.416
NM_001013377.3,33.919,45.635,30.341,32.479,45.456,23.096
NM_001013378.2,0,25.909,0,0,0,8.886
NM_001013379.3,14,11,0,32,18.993,18
NM_001013380.2,187.552,217.94,152.306,178.005,187.581,125.745
NM_001013381.2,84,101.976,74,104.349,79.274,62
NM_001013382.3,0,0,0,0,0,0
NM_001013384.3,0,0,0,0,0,0
NM_001013385.2,0,0,0,0,0,0
NM_001013386.3,0,0,0,0,0,0
NM_001013387.2,0,0,0,0,0,0
NM_001013389.2,0,22.523,9.544,21.38,26.509,0
NM_001013390.3,0,0,0,0,0,0
